Track Name,Artist,Album,Release Date,Cover Image URL,Genre,Price
Can You Get To That,Funkadelic,Maggot Brain,1971-07-12,https://i.scdn.co/image/ab67616d0000b27352573463beeda67fe242cab5,funk,29.99
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),2002-07-09,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4,alternative rock,24.99
Things Can Only Get Better,Howard Jones,Best Of,2008-02-22,https://i.scdn.co/image/ab67616d0000b2739c41c2af42fb3034715f5a99,synthpop,24.99
In My Life - Remastered 2009,The Beatles,Rubber Soul (Remastered),1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,psychedelic rock,29.99
Yesterday - Remastered 2009,The Beatles,Help! (Remastered),1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,psychedelic rock,29.99
Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,psychedelic rock,29.99
Dream On,Aerosmith,Aerosmith,1973-01-05,https://i.scdn.co/image/ab67616d0000b273bbf0146981704a073405b6c2,hard rockk,29.99
Enter Sandman,Metallica,Metallica,1991-08-12,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802,old school thrash,27.99
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595,alternative rock,27.99
Send Me on My Way,Rusted Root,Music From Party of Five,1996-11-12,https://i.scdn.co/image/ab67616d0000b27361a02bd4428cc8d26dbef4f0,pittsburgh rock,27.99
California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,1966-03,https://i.scdn.co/image/ab67616d0000b27308181b9f840a06e7a071cf72,classic rock,29.99
Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,Sweet Dreams (Are Made Of This),1983-01-04,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d,synthpop,27.99
Ride the Lightning - 717 Tapes,Warren Zeiders,Ride the Lightning (717 Tapes),2021-06-25,https://i.scdn.co/image/ab67616d0000b273b91b7735d32ff4223acf2c46,country pop,24.99
